iter	Passed	Remaining
659	2348	1210
660	2351	1206
661	2354	1202
662	2357	1198
663	2360	1194
664	2363	1190
665	2366	1186
666	2369	1182
667	2373	1179
668	2377	1176
669	2381	1173
670	2386	1169
671	2389	1166
672	2393	1163
673	2397	1159
674	2403	1157
675	2406	1153
676	2412	1150
677	2415	1147
678	2418	1143
679	2421	1139
680	2425	1136
681	2429	1132
682	2433	1129
683	2437	1126
684	2441	1122
685	2446	1119
686	2450	1116
687	2454	1112
688	2458	1109
689	2462	1106
690	2465	1102
691	2469	1099
692	2473	1095
693	2476	1092
694	2480	1088
695	2484	1085
696	2488	1081
697	2491	1078
698	2496	1074
699	2503	1072
700	2508	1069
701	2512	1066
702	2517	1063
703	2521	1059
704	2525	1056
705	2528	1053
706	2532	1049
707	2537	1046
708	2542	1043
709	2547	1040
710	2550	1036
711	2555	1033
712	2558	1029
713	2562	1026
714	2565	1022
715	2569	1018
716	2572	1015
717	2576	1011
718	2580	1008
719	2583	1004
720	2587	1001
721	2593	998
722	2599	996
723	2604	992
724	2608	989
725	2611	985
726	2615	982
727	2618	978
728	2623	975
729	2626	971
730	2630	967
731	2633	964
732	2637	960
733	2639	956
734	2643	953
735	2646	949
736	2650	945
737	2653	942
738	2656	938
739	2659	934
740	2662	930
741	2665	926
742	2668	923
743	2671	919
744	2674	915
745	2677	911
746	2680	907
747	2683	904
748	2687	900
749	2691	897
750	2695	893
751	2698	889
752	2702	886
753	2704	882
754	2707	878
755	2711	875
756	2714	871
757	2716	867
758	2719	863
759	2722	859
760	2725	856
761	2728	852
762	2731	848
763	2735	844
764	2738	841
765	2742	837
766	2745	834
767	2749	830
768	2752	826
769	2756	823
770	2759	819
771	2763	816
772	2768	812
773	2776	810
774	2780	807
775	2784	803
776	2787	799
777	2791	796
778	2794	792
779	2797	788
780	2801	785
781	2804	781
782	2807	778
783	2810	774
784	2812	770
785	2816	766
786	2818	762
787	2821	759
788	2828	756
789	2833	753
790	2836	749
791	2841	746
792	2844	742
793	2848	738
794	2851	735
795	2854	731
796	2857	727
797	2861	724
798	2866	721
799	2869	717
800	2873	713
801	2876	710
802	2879	706
803	2883	702
804	2886	699
805	2890	695
806	2892	691
807	2896	688
808	2899	684
809	2903	680
810	2906	677
811	2909	673
812	2913	670
813	2916	666
814	2918	662
815	2921	658
816	2925	655
817	2928	651
818	2930	647
819	2934	644
820	2937	640
821	2941	636
822	2944	633
823	2947	629
824	2950	625
825	2954	622
826	2957	618
827	2960	615
828	2964	611
829	2968	607
830	2971	604
831	2975	600
832	2979	597
833	2982	593
834	2985	590
835	2989	586
836	2992	582
837	2998	579
838	3002	576
839	3005	572
840	3009	568
841	3012	565
842	3015	561
843	3018	557
844	3020	554
845	3024	550
846	3027	546
847	3030	543
848	3033	539
849	3037	535
850	3041	532
851	3044	528
852	3047	525
853	3050	521
854	3054	517
855	3057	514
856	3060	510
857	3063	507
858	3066	503
859	3070	499
860	3074	496
861	3077	492
862	3082	489
863	3086	485
864	3090	482
865	3094	478
866	3098	475
867	3101	471
868	3105	468
869	3112	465
870	3116	461
871	3120	458
872	3123	454
873	3126	450
874	3129	447
875	3133	443
876	3136	439
877	3140	436
878	3144	432
879	3148	429
880	3152	425
881	3156	422
882	3162	418
883	3166	415
884	3170	411
885	3174	408
886	3177	404
887	3181	401
888	3185	397
889	3189	394
890	3192	390
891	3195	386
892	3199	383
893	3203	379
894	3206	376
895	3209	372
896	3212	368
897	3216	365
898	3219	361
899	3223	358
900	3227	354
901	3231	351
902	3236	347
903	3240	344
904	3245	340
905	3249	337
906	3254	333
907	3257	330
908	3262	326
909	3265	323
910	3268	319
911	3276	316
912	3281	312
913	3288	309
914	3292	305
915	3296	302
916	3300	298
917	3305	295
918	3308	291
919	3311	287
920	3314	284
921	3318	280
922	3322	277
923	3326	273
924	3329	269
925	3334	266
926	3338	262
927	3342	259
928	3346	255
929	3349	252
930	3353	248
931	3358	245
932	3361	241
933	3365	237
934	3369	234
935	3373	230
936	3377	227
937	3381	223
938	3387	220
939	3390	216
940	3393	212
941	3397	209
942	3400	205
943	3402	201
944	3406	198
945	3409	194
946	3412	190
947	3415	187
948	3418	183
949	3421	180
950	3424	176
951	3426	172
952	3430	169
953	3434	165
954	3437	161
955	3440	158
956	3442	154
957	3445	151
958	3448	147
959	3452	143
960	3455	140
961	3459	136
962	3462	133
963	3466	129
964	3469	125
965	3473	122
966	3476	118
967	3479	115
968	3483	111
969	3486	107
970	3490	104
971	3493	100
972	3496	97
973	3500	93
974	3503	89
975	3507	86
976	3511	82
977	3515	79
978	3519	75
979	3523	71
980	3527	68
981	3532	64
982	3536	61
983	3540	57
984	3543	53
985	3547	50
986	3551	46
987	3555	43
988	3558	39
989	3561	35
990	3564	32
991	3570	28
992	3576	25
993	3580	21
994	3583	18
995	3586	14
996	3590	10
997	3594	7
998	3597	3
999	3601	0
